,TTR (avg) (0),(r-tr) (mean) (0),(r-tr) (std) (0),r (AC) (mean) (0),r (AC) (std) (0),tr (AC) (mean) (0),tr (AC) (std) (0),dir_n (0),tr-r ratio (0),r (length) (avg) (0),tr (length) (avg) (0),y (0),TTR (avg) (1),(r-tr) (mean) (1),(r-tr) (std) (1),r (AC) (mean) (1),r (AC) (std) (1),tr (AC) (mean) (1),tr (AC) (std) (1),dir_n (1),tr-r ratio (1),r (length) (avg) (1),tr (length) (avg) (1),y (1)
count,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0,3474.0
mean,0.826,0.217,0.152,0.352,0.218,0.415,0.15,96.908,0.445,69.646,31.106,0.0,0.813,0.232,0.153,0.369,0.217,0.432,0.147,79.153,0.347,71.262,31.651,1.0
std,0.075,0.063,0.028,0.135,0.055,0.069,0.038,236.656,0.734,15.075,4.327,0.0,0.078,0.07,0.033,0.134,0.049,0.078,0.049,194.898,0.572,14.569,5.712,0.0
min,0.569,-0.022,0.0,0.021,0.0,0.202,0.0,2.0,0.0,28.0,0.0,0.0,0.569,0.0,0.0,0.14,0.0,0.174,0.0,1.0,0.0,28.167,0.0,1.0
25%,0.775,0.18,0.138,0.265,0.202,0.367,0.138,39.0,0.147,59.424,28.444,0.0,0.75,0.192,0.14,0.276,0.199,0.381,0.136,32.0,0.112,61.626,28.429,1.0
50%,0.84,0.21,0.151,0.315,0.221,0.408,0.153,65.0,0.267,70.127,30.509,0.0,0.83,0.225,0.155,0.336,0.22,0.422,0.155,58.0,0.223,72.585,30.833,1.0
75%,0.878,0.244,0.166,0.394,0.242,0.453,0.169,97.0,0.463,79.908,33.408,0.0,0.874,0.266,0.17,0.41,0.241,0.472,0.172,89.0,0.4,81.056,34.5,1.0
max,1.0,0.718,0.297,0.994,0.447,0.903,0.297,9690.0,12.0,148.84,60.5,0.0,1.0,0.644,0.307,0.986,0.447,0.969,0.311,9690.0,14.0,130.848,70.0,1.0
